Datetime,Estimated Leverage Ratio
2025-05-05T00:00:00Z,0.25162271
2025-05-04T00:00:00Z,0.25638167
2025-05-03T00:00:00Z,0.2574838
2025-05-02T00:00:00Z,0.26403622
2025-05-01T00:00:00Z,0.26797073
2025-04-30T00:00:00Z,0.25038354
2025-04-29T00:00:00Z,0.25488493
2025-04-28T00:00:00Z,0.25386566
2025-04-27T00:00:00Z,0.25785694
2025-04-26T00:00:00Z,0.26063295
2025-04-25T00:00:00Z,0.27087641
2025-04-24T00:00:00Z,0.25589962
2025-04-23T00:00:00Z,0.25215955
2025-04-22T00:00:00Z,0.2644138
2025-04-21T00:00:00Z,0.24914633
2025-04-20T00:00:00Z,0.23574448
2025-04-19T00:00:00Z,0.23951748
2025-04-18T00:00:00Z,0.23316021
2025-04-17T00:00:00Z,0.23625468
2025-04-16T00:00:00Z,0.23189207
2025-04-15T00:00:00Z,0.23444646
2025-04-14T00:00:00Z,0.23044904
2025-04-13T00:00:00Z,0.22972963
2025-04-12T00:00:00Z,0.24356784
2025-04-11T00:00:00Z,0.23823757
2025-04-10T00:00:00Z,0.22374264
2025-04-09T00:00:00Z,0.23157336
2025-04-08T00:00:00Z,0.23390471
2025-04-07T00:00:00Z,0.22315826
2025-04-06T00:00:00Z,0.24133205
2025-04-05T00:00:00Z,0.22319174
2025-04-04T00:00:00Z,0.2280565
2025-04-03T00:00:00Z,0.22575748
2025-04-02T00:00:00Z,0.22812379
2025-04-01T00:00:00Z,0.23928904
2025-03-31T00:00:00Z,0.23029433
2025-03-30T00:00:00Z,0.24221847
2025-03-29T00:00:00Z,0.24881172
2025-03-28T00:00:00Z,0.25749269
2025-03-27T00:00:00Z,0.24200081
2025-03-26T00:00:00Z,0.23993553
2025-03-25T00:00:00Z,0.24732516
2025-03-24T00:00:00Z,0.24820741
2025-03-23T00:00:00Z,0.23605431
2025-03-22T00:00:00Z,0.22785518
2025-03-21T00:00:00Z,0.22932882
2025-03-20T00:00:00Z,0.2286232
2025-03-19T00:00:00Z,0.24030139
2025-03-18T00:00:00Z,0.23284513
2025-03-17T00:00:00Z,0.22894259
2025-03-16T00:00:00Z,0.22788292
2025-03-15T00:00:00Z,0.23468265
2025-03-14T00:00:00Z,0.2348366
2025-03-13T00:00:00Z,0.23153188
2025-03-12T00:00:00Z,0.21971139
2025-03-11T00:00:00Z,0.21537198
2025-03-10T00:00:00Z,0.22372759
2025-03-09T00:00:00Z,0.22513031
2025-03-08T00:00:00Z,0.21263427
2025-03-07T00:00:00Z,0.21372266
2025-03-06T00:00:00Z,0.21143269
2025-03-05T00:00:00Z,0.21148803
2025-03-04T00:00:00Z,0.20663397
2025-03-03T00:00:00Z,0.21678772
2025-03-02T00:00:00Z,0.2268505
2025-03-01T00:00:00Z,0.22684421
2025-02-28T00:00:00Z,0.22973567
2025-02-27T00:00:00Z,0.23912972
2025-02-26T00:00:00Z,0.24103485
2025-02-25T00:00:00Z,0.24795192
2025-02-24T00:00:00Z,0.25206524
2025-02-23T00:00:00Z,0.23315667
2025-02-22T00:00:00Z,0.23028868
2025-02-21T00:00:00Z,0.23210628
2025-02-20T00:00:00Z,0.25330176
2025-02-19T00:00:00Z,0.23964746
2025-02-18T00:00:00Z,0.24658733
2025-02-17T00:00:00Z,0.24015263
2025-02-16T00:00:00Z,0.23707502
2025-02-15T00:00:00Z,0.2353167
2025-02-14T00:00:00Z,0.23561607
2025-02-13T00:00:00Z,0.23845851
2025-02-12T00:00:00Z,0.23809236
2025-02-11T00:00:00Z,0.24127196
2025-02-10T00:00:00Z,0.23169061
2025-02-09T00:00:00Z,0.22693757
2025-02-08T00:00:00Z,0.22941724
2025-02-07T00:00:00Z,0.22807715
2025-02-06T00:00:00Z,0.22811121
2025-02-05T00:00:00Z,0.22824901
2025-02-04T00:00:00Z,0.21671194
2025-02-03T00:00:00Z,0.22315273
2025-02-02T00:00:00Z,0.23711418
2025-02-01T00:00:00Z,0.23546294
2025-01-31T00:00:00Z,0.23449023
2025-01-30T00:00:00Z,0.23060927
2025-01-29T00:00:00Z,0.22738651
2025-01-28T00:00:00Z,0.22604931
2025-01-27T00:00:00Z,0.2276453
2025-01-26T00:00:00Z,0.22744957
2025-01-25T00:00:00Z,0.22475109
2025-01-24T00:00:00Z,0.22821883
2025-01-23T00:00:00Z,0.22663582
2025-01-22T00:00:00Z,0.23071686
2025-01-21T00:00:00Z,0.23350399
2025-01-20T00:00:00Z,0.23026438
2025-01-19T00:00:00Z,0.23231506
2025-01-18T00:00:00Z,0.23529551
2025-01-17T00:00:00Z,0.24468469
2025-01-16T00:00:00Z,0.23310922
2025-01-15T00:00:00Z,0.23492958
2025-01-14T00:00:00Z,0.23230882
2025-01-13T00:00:00Z,0.23266241
2025-01-12T00:00:00Z,0.23567029
2025-01-11T00:00:00Z,0.23507759
2025-01-10T00:00:00Z,0.23432913
2025-01-09T00:00:00Z,0.23479315
2025-01-08T00:00:00Z,0.23742099
2025-01-07T00:00:00Z,0.23894603
2025-01-06T00:00:00Z,0.2404739
2025-01-05T00:00:00Z,0.2311179
2025-01-04T00:00:00Z,0.22937796
2025-01-03T00:00:00Z,0.23219551
2025-01-02T00:00:00Z,0.23414613
2025-01-01T00:00:00Z,0.23093711
2024-12-31T00:00:00Z,0.22983215
2024-12-30T00:00:00Z,0.23196047
2024-12-29T00:00:00Z,0.23252322
2024-12-28T00:00:00Z,0.2291194
2024-12-27T00:00:00Z,0.22905116
2024-12-26T00:00:00Z,0.22552452
2024-12-25T00:00:00Z,0.2239534
2024-12-24T00:00:00Z,0.22301131
2024-12-23T00:00:00Z,0.22436821
2024-12-22T00:00:00Z,0.216667
2024-12-21T00:00:00Z,0.21528239
2024-12-20T00:00:00Z,0.21426641
2024-12-19T00:00:00Z,0.21940246
2024-12-18T00:00:00Z,0.22149987
2024-12-17T00:00:00Z,0.21825773
2024-12-16T00:00:00Z,0.21937883
2024-12-15T00:00:00Z,0.22315413
2024-12-14T00:00:00Z,0.21214414
2024-12-13T00:00:00Z,0.21119463
2024-12-12T00:00:00Z,0.21066717
2024-12-11T00:00:00Z,0.20437241
2024-12-10T00:00:00Z,0.1979985
2024-12-09T00:00:00Z,0.20222294
2024-12-08T00:00:00Z,0.19917168
2024-12-07T00:00:00Z,0.19953645
2024-12-06T00:00:00Z,0.19851237
2024-12-05T00:00:00Z,0.20568174
2024-12-04T00:00:00Z,0.21043167
2024-12-03T00:00:00Z,0.20144327
2024-12-02T00:00:00Z,0.20256169
2024-12-01T00:00:00Z,0.20302756
2024-11-30T00:00:00Z,0.20383294
2024-11-29T00:00:00Z,0.20744667
2024-11-28T00:00:00Z,0.20515778
2024-11-27T00:00:00Z,0.20665747
2024-11-26T00:00:00Z,0.21012359
2024-11-25T00:00:00Z,0.2172754
2024-11-24T00:00:00Z,0.20952906
2024-11-23T00:00:00Z,0.21316849
2024-11-22T00:00:00Z,0.21268359
2024-11-21T00:00:00Z,0.21239143
2024-11-20T00:00:00Z,0.21296359
2024-11-19T00:00:00Z,0.20455848
2024-11-18T00:00:00Z,0.20110595
2024-11-17T00:00:00Z,0.19925324
2024-11-16T00:00:00Z,0.19795987
2024-11-15T00:00:00Z,0.19723502
2024-11-14T00:00:00Z,0.20208988
2024-11-13T00:00:00Z,0.19346312
2024-11-12T00:00:00Z,0.19611808
2024-11-11T00:00:00Z,0.19795469
2024-11-10T00:00:00Z,0.20222939
2024-11-09T00:00:00Z,0.20615118
2024-11-08T00:00:00Z,0.21092082
2024-11-07T00:00:00Z,0.20885545
2024-11-06T00:00:00Z,0.20947958
2024-11-05T00:00:00Z,0.19525037
2024-11-04T00:00:00Z,0.19724298
2024-11-03T00:00:00Z,0.19729814
2024-11-02T00:00:00Z,0.20032213
2024-11-01T00:00:00Z,0.19877455
2024-10-31T00:00:00Z,0.20890263
2024-10-30T00:00:00Z,0.21063056
2024-10-29T00:00:00Z,0.21053388
2024-10-28T00:00:00Z,0.20879985
2024-10-27T00:00:00Z,0.1979734
2024-10-26T00:00:00Z,0.19508834
2024-10-25T00:00:00Z,0.19474397
2024-10-24T00:00:00Z,0.20243323
2024-10-23T00:00:00Z,0.20258213
2024-10-22T00:00:00Z,0.20220316
2024-10-21T00:00:00Z,0.20105861
2024-10-20T00:00:00Z,0.20016403
2024-10-19T00:00:00Z,0.2010573
2024-10-18T00:00:00Z,0.20144866
2024-10-17T00:00:00Z,0.19285538
2024-10-16T00:00:00Z,0.19854772
2024-10-15T00:00:00Z,0.1914988
2024-10-14T00:00:00Z,0.19739962
2024-10-13T00:00:00Z,0.19423971
2024-10-12T00:00:00Z,0.19899386
2024-10-11T00:00:00Z,0.19622871
2024-10-10T00:00:00Z,0.19169039
2024-10-09T00:00:00Z,0.19271244
2024-10-08T00:00:00Z,0.18805097
2024-10-07T00:00:00Z,0.18606928
2024-10-06T00:00:00Z,0.18866828
2024-10-05T00:00:00Z,0.18542829
2024-10-04T00:00:00Z,0.18568362
2024-10-03T00:00:00Z,0.18670795
