unix,date,symbol,open,high,low,close,volume,volume_from,marketorder_volume,marketorder_volume_from,tradecount
1.60E+12,8/11/2020,BTCUSD_PERP,11785,11785,11125.5,11393.5,570655,4977.814598,278625,2430.052268,23020
1.60E+12,8/12/2020,BTCUSD_PERP,11393.9,11628.3,11122.6,11580.6,615725,5378.780166,296018,2584.687744,18503
1.60E+12,8/13/2020,BTCUSD_PERP,11581.6,11808.1,11278.9,11795.6,798009,6901.253226,387980,3353.892938,23646
1.60E+12,8/14/2020,BTCUSD_PERP,11796.7,11873.8,11652.7,11777.1,688690,5854.894246,345653,2938.640715,18491
1.60E+12,8/15/2020,BTCUSD_PERP,11781.1,11999.8,11689.5,11867.8,808226,6803.05349,403977,3400.73611,21819
1.60E+12,8/16/2020,BTCUSD_PERP,11868.5,11952.9,11701.6,11932.3,574629,4844.774558,295907,2494.791065,13648
1.60E+12,8/17/2020,BTCUSD_PERP,11933.9,12513.6,11767.9,12302.9,799239,6622.790199,386717,3203.149648,21602
1.60E+12,8/18/2020,BTCUSD_PERP,12305.3,12410,11813.2,11959.9,765107,6308.663199,382344,3152.644656,22183
1.60E+12,8/19/2020,BTCUSD_PERP,11960.5,12035.7,11502.5,11764,778573,6608.969058,379009,3217.097767,22308
1.60E+12,8/20/2020,BTCUSD_PERP,11764.4,11893.1,11680.7,11871.1,499895,4237.153086,254692,2158.704703,12544
1.60E+12,8/21/2020,BTCUSD_PERP,11871,11888.8,11488.1,11531.4,605844,5164.298317,309330,2636.289649,17707
1.60E+12,8/22/2020,BTCUSD_PERP,11530.9,11689.9,11378.7,11669.8,400374,3467.090178,194561,1684.977125,11268
1.60E+12,8/23/2020,BTCUSD_PERP,11669.7,11727,11523.5,11660,397942,3420.147913,199612,1715.571316,10352
1.60E+12,8/24/2020,BTCUSD_PERP,11663,11831.3,11601.3,11762.1,341995,2912.975285,168027,1431.471791,9870
1.60E+12,8/25/2020,BTCUSD_PERP,11761.7,11772.4,11114.1,11330.5,954866,8356.684329,447364,3916.619583,26797
1.60E+12,8/26/2020,BTCUSD_PERP,11329.7,11558.1,11250.4,11472.4,483722,4244.674986,252872,2218.663012,14902
1.60E+12,8/27/2020,BTCUSD_PERP,11469.8,11600,11134,11330.7,771939,6802.964591,377111,3323.744469,27573
1.60E+12,8/28/2020,BTCUSD_PERP,11335,11543.9,11286.7,11525.4,351888,3075.271946,173150,1513.157804,12040
1.60E+12,8/29/2020,BTCUSD_PERP,11528.5,11579.9,11424.4,11477.3,240602,2092.366385,123082,1070.578282,8024
1.60E+12,8/30/2020,BTCUSD_PERP,11469.4,11721.3,11465.2,11721.2,313541,2698.364168,163658,1408.506238,10118
1.60E+12,8/31/2020,BTCUSD_PERP,11719.5,11789.4,11584.7,11663.5,393972,3369.562162,193857,1657.981382,12685
1.60E+12,9/1/2020,BTCUSD_PERP,11663.4,12085.3,11533.6,11946.1,621832,5235.662607,304928,2567.490333,21122
1.60E+12,9/2/2020,BTCUSD_PERP,11945.1,11972.8,11134.3,11401.8,930859,8103.108753,463441,4036.714939,36118
1.60E+12,9/3/2020,BTCUSD_PERP,11401.8,11481.7,9772.7,10129.1,1585377,14730.77131,743869,6903.980049,61490
1.60E+12,9/4/2020,BTCUSD_PERP,10126,10631.3,9873,10453.5,1365112,13209.30977,681878,6600.597096,44769
1.60E+12,9/5/2020,BTCUSD_PERP,10453.2,10564.8,9817.8,10163.6,1293926,12681.55353,638274,6256.594692,44048
1.60E+12,9/6/2020,BTCUSD_PERP,10162,10354.9,10001.1,10257.7,742737,7277.750245,380792,3729.278034,23951
1.60E+12,9/7/2020,BTCUSD_PERP,10255.4,10407.3,9864.5,10372.1,950184,9387.328841,410467,4050.4357,25021
1.60E+12,9/8/2020,BTCUSD_PERP,10378.6,10437.5,9832.3,10128.5,898509,8886.394884,432930,4280.62478,26873
1.60E+12,9/9/2020,BTCUSD_PERP,10129.4,10349.8,9985.6,10223.4,569551,5591.712155,280726,2755.938319,16268
1.60E+12,9/10/2020,BTCUSD_PERP,10224.9,10497,10217.2,10342.2,590348,5706.694975,281948,2724.533314,18737
1.60E+12,9/11/2020,BTCUSD_PERP,10346,10407,10202.6,10388.1,380219,3692.134038,179007,1738.186329,11969
1.60E+12,9/12/2020,BTCUSD_PERP,10388.6,10479.4,10277.1,10438.3,265727,2561.368402,125599,1210.445267,11232
1.60E+12,9/13/2020,BTCUSD_PERP,10439.4,10582,10209.5,10325.4,408836,3939.078462,203079,1955.72658,16631
1.60E+12,9/14/2020,BTCUSD_PERP,10326.8,10747.7,10245.9,10671.5,633256,6019.917046,331280,3150.285721,23646
1.60E+12,9/15/2020,BTCUSD_PERP,10671.5,10931.5,10599.7,10781.3,660772,6131.561359,332693,3086.200082,26414
1.60E+12,9/16/2020,BTCUSD_PERP,10781.3,11096.6,10657.2,10941.6,717704,6580.814868,366902,3364.856834,27667
1.60E+12,9/17/2020,BTCUSD_PERP,10944.2,11039.1,10740.2,10935.3,578442,5316.818802,285536,2624.569492,21673
1.60E+12,9/18/2020,BTCUSD_PERP,10935.4,11039,10793.6,10932.5,415005,3804.373927,210197,1926.898623,16264
1.60E+12,9/19/2020,BTCUSD_PERP,10932.7,11178.1,10888,11075.5,400736,3633.128481,185889,1685.811324,15651
1.60E+12,9/20/2020,BTCUSD_PERP,11075.1,11075.1,10750.6,10914.4,640612,5879.567872,297745,2733.698668,20311
1.60E+12,9/21/2020,BTCUSD_PERP,10913.2,10988.5,10264,10412.8,1166049,11000.70364,540677,5104.003781,35699
1.60E+12,9/22/2020,BTCUSD_PERP,10412.8,10575,10350.2,10525.7,1415438,13525.95406,706352,6750.904069,26214
1.60E+12,9/23/2020,BTCUSD_PERP,10525.8,10539.3,10129.5,10230.4,1239030,11936.08427,611642,5892.141633,26175
1.60E+12,9/24/2020,BTCUSD_PERP,10232.2,10794,10190.9,10728.1,1116025,10630.32563,590264,5624.609495,29218
1.60E+12,9/25/2020,BTCUSD_PERP,10726.4,10758.9,10553.4,10681.9,804868,7553.004762,399471,3747.344136,24840
1.60E+12,9/26/2020,BTCUSD_PERP,10681.9,10830,10646.7,10723.2,533499,4978.263986,258641,2412.884947,17525
1.60E+12,9/27/2020,BTCUSD_PERP,10723.2,10797.8,10600,10776.7,544559,5087.097086,274673,2566.053899,17367
1.60E+12,9/28/2020,BTCUSD_PERP,10777.6,10969.9,10629.3,10691.9,900184,8289.813058,442618,4074.882714,24975
1.60E+12,9/29/2020,BTCUSD_PERP,10693.2,10864.8,10633.9,10838.8,727022,6778.056026,359935,3355.017927,21260
