datetime,Neutral,Taker Buy Dominant,Taker Sell Dominant
2025-05-05,94742.9326,-,-
2025-05-04,94293.9,-,-
2025-05-03,95880.4,-,-
2025-05-02,96905.6,-,-
2025-05-01,96489.91,-,-
2025-04-30,94183.5,-,-
2025-04-29,95121.75,-,-
2025-04-28,95011.18,-,-
2025-04-27,93776,-,-
2025-04-26,94653.00999997501,-,-
2025-04-25,94100.4,-,-
2025-04-24,93980.47,-,-
2025-04-23,93722.35,-,-
2025-04-22,93472.98999999999,-,-
2025-04-21,87518.60665893,-,-
2025-04-20,85179.245,-,-
2025-04-19,85089.43729999999,-,-
2025-04-18,84705.83499999999,-,-
2025-04-17,84224.33894739501,-,-
2025-04-16,84046.8,-,-
2025-04-15,83662.705,-,-
2025-04-14,84590.6,-,-
2025-04-13,83737.17,-,-
2025-04-12,85277.233151755,-,-
2025-04-11,83396.36603694,-,-
2025-04-10,79594.515,-,-
2025-04-09,82605.16,-,-
2025-04-08,76323.56,-,-
2025-04-07,79169.65,-,-
2025-04-06,78393.7,-,-
2025-04-05,83521.845,-,-
2025-04-04,83876.2,-,-
2025-04-03,83168.67,-,-
2025-04-02,82523.93001514999,-,-
2025-04-01,85171.64,-,-
2025-03-31,82543.26000000001,-,-
2025-03-30,82369.905,-,-
2025-03-29,82617.95999999999,-,-
2025-03-28,84382.7,-,-
2025-03-27,87224.1,-,-
2025-03-26,86909.17499999999,-,-
2025-03-25,87423.73999999999,-,-
2025-03-24,87498.16,-,-
2025-03-23,86076.76,-,-
2025-03-22,83840.33,-,-
2025-03-21,84080.59,-,-
2025-03-20,84208.5,-,-
2025-03-19,86845.94,-,-
2025-03-18,82710.82,-,-
2025-03-17,-,-,84017.99
2025-03-16,-,-,82578.1
2025-03-15,-,-,84346
2025-03-14,-,-,83988.73
2025-03-13,-,-,81111.28
2025-03-12,-,-,83673.33
2025-03-11,-,-,82914.51
2025-03-10,-,-,78591.22
2025-03-09,-,-,80719.81744205
2025-03-08,-,-,86213.62
2025-03-07,-,-,86774.7150137
2025-03-06,-,-,89936.94
2025-03-05,-,-,90610.4
2025-03-04,-,-,87268.84
2025-03-03,-,-,86177
2025-03-02,-,-,94269.5
2025-03-01,-,-,86029.83
2025-02-28,-,-,84334.72
2025-02-27,-,-,84708.57
2025-02-26,-,-,84126.76999999999
2025-02-25,-,-,88680.54999999999
2025-02-24,-,-,91544.889952965
2025-02-23,-,-,96263.945
2025-02-22,-,-,96570.77749611
2025-02-21,-,-,96161.355
2025-02-20,-,-,98338.05
2025-02-19,-,-,96644.36
2025-02-18,-,-,95619.22
2025-02-17,-,-,95781.45
2025-02-16,-,-,96144.1
2025-02-15,-,-,97588.99999816
2025-02-14,-,-,97504
2025-02-13,-,-,96616
2025-02-12,-,-,97868.04
2025-02-11,-,-,95773.5
2025-02-10,-,-,97441.605
2025-02-09,-,-,96475.86
2025-02-08,-,-,96469.98999999999
2025-02-07,-,-,96513.485
2025-02-06,-,-,96564.12
2025-02-05,-,-,96616.05
2025-02-04,-,-,97800.18734608
2025-02-03,-,-,101403.29000000001
2025-02-02,-,-,97673.07
2025-02-01,-,-,100635.65
2025-01-31,-,-,102409.98999999999
2025-01-30,-,-,104738
2025-01-29,-,-,103735.76205464
2025-01-28,-,-,101317.6
2025-01-27,-,-,102068.66500000001
