unix,date,symbol,open,high,low,close,volume,volume_from,marketorder_volume,marketorder_volume_from,tradecount
1.59771E+12,8/18/2020,ETHUSD_PERP,430,435,410,422.02,986938,23172.96215,486370,11426.69131,14060
1.5978E+12,8/19/2020,ETHUSD_PERP,422.72,426.42,394.9,408.5,2912351,71285.80954,1466425,35911.58368,36628
1.59788E+12,8/20/2020,ETHUSD_PERP,408.45,420.29,402.64,416.76,1479707,35841.94328,735758,17818.84969,20216
1.59797E+12,8/21/2020,ETHUSD_PERP,416.9,419.5,383.88,388.42,2033162,50442.40275,984097,24396.2445,25693
1.59805E+12,8/22/2020,ETHUSD_PERP,388.22,398.04,377.74,396.32,1859983,47812.51054,908930,23332.03489,21430
1.59814E+12,8/23/2020,ETHUSD_PERP,396.28,397.95,383.4,390.94,1538096,39301.23694,733690,18745.18709,20149
1.59823E+12,8/24/2020,ETHUSD_PERP,391.16,410.89,387.73,408.33,1486359,37022.83834,719588,17920.38136,19911
1.59831E+12,8/25/2020,ETHUSD_PERP,408.3,409.74,370.3,383.75,2827976,72769.16104,1293203,33359.66692,33535
1.5984E+12,8/26/2020,ETHUSD_PERP,383.38,393.38,377.58,386.52,1687588,43807.0177,831933,21586.11638,21708
1.59849E+12,8/27/2020,ETHUSD_PERP,386.47,398,372,383.79,2067870,53886.36577,1020637,26574.41504,23842
1.59857E+12,8/28/2020,ETHUSD_PERP,384.02,398.96,380.44,395.46,1216527,31094.90235,568999,14536.95693,15555
1.59866E+12,8/29/2020,ETHUSD_PERP,395.44,406.31,392.45,398.99,1324456,33052.80519,611389,15248.96338,14940
1.59875E+12,8/30/2020,ETHUSD_PERP,398.96,430.8,398.8,429.84,1900971,45804.56822,991956,23891.48675,20523
1.59883E+12,8/31/2020,ETHUSD_PERP,429.94,439.5,418.19,434.24,3155563,73473.10557,1479825,34460.79208,25675
1.59892E+12,9/1/2020,ETHUSD_PERP,434.29,490.34,429.53,478.75,5304386,113259.7918,2360647,50584.19516,42641
1.599E+12,9/2/2020,ETHUSD_PERP,478.75,486.25,417.52,440.11,6469268,143491.8376,2763914,61354.66447,74493
1.59909E+12,9/3/2020,ETHUSD_PERP,439.98,452.21,368,381.88,8546877,208906.0604,4042214,98673.83507,83918
1.59918E+12,9/4/2020,ETHUSD_PERP,381.76,400.49,356.69,385.21,6178593,160504.6172,3177297,82483.10058,59409
1.59926E+12,9/5/2020,ETHUSD_PERP,384.92,395,305.64,334.43,9181924,263635.6441,4510676,129509.5726,80749
1.59935E+12,9/6/2020,ETHUSD_PERP,334.37,360.58,315.97,352.06,4124777,120521.7912,2006330,58673.83689,41084
1.59944E+12,9/7/2020,ETHUSD_PERP,352.02,358.33,323.14,353.52,2832620,82754.87227,1434499,41950.50867,28708
1.59952E+12,9/8/2020,ETHUSD_PERP,353.84,356.19,324.47,337.29,2264490,66767.10043,1111410,32761.17128,25358
1.59961E+12,9/9/2020,ETHUSD_PERP,337.17,358.98,330.35,350.81,1347749,38947.40118,725383,20948.53918,9795
1.5997E+12,9/10/2020,ETHUSD_PERP,350.47,377.15,349.88,367.87,2728204,74187.03264,1366435,37151.18736,27168
1.59978E+12,9/11/2020,ETHUSD_PERP,367.53,375.28,355.05,373.79,1835653,50156.70255,876994,23962.48073,24010
1.59987E+12,9/12/2020,ETHUSD_PERP,373.74,388.82,364.34,388.16,2120605,56458.97431,1146821,30505.03092,25733
1.59996E+12,9/13/2020,ETHUSD_PERP,388.06,390.7,352.3,365.86,2929126,79218.34913,1392964,37652.76259,32912
1.60004E+12,9/14/2020,ETHUSD_PERP,365.74,384.11,355.13,376.99,2928970,78888.44077,1500870,40405.61882,33064
1.60013E+12,9/15/2020,ETHUSD_PERP,377,382.32,362.1,363.81,2491527,67132.16749,1168751,31466.36773,30928
1.60021E+12,9/16/2020,ETHUSD_PERP,363.85,373.66,354.55,364.45,2714195,74344.11793,1436209,39353.92233,31205
1.6003E+12,9/17/2020,ETHUSD_PERP,364.28,395.04,362.68,389.46,4429295,116411.4727,2110313,55407.31174,33220
1.60039E+12,9/18/2020,ETHUSD_PERP,389.43,392.75,374.87,384.48,2242665,58489.46423,1087535,28357.46481,21906
1.60047E+12,9/19/2020,ETHUSD_PERP,384.48,388.56,376.74,385.11,1622105,42339.41949,811236,21172.94339,15353
1.60056E+12,9/20/2020,ETHUSD_PERP,385.06,385.21,364.05,370.33,2500538,66886.69352,1121005,30004.84501,21771
1.60065E+12,9/21/2020,ETHUSD_PERP,370.54,376.43,330.05,339.58,4482131,128092.4458,2083581,59503.7599,29331
1.60073E+12,9/22/2020,ETHUSD_PERP,339.6,346.79,334.89,343.99,2273805,66563.47997,1169245,34222.72044,20773
1.60082E+12,9/23/2020,ETHUSD_PERP,344,344.41,311,320.35,3176839,95739.01143,1582751,47621.99115,26643
1.60091E+12,9/24/2020,ETHUSD_PERP,320.41,353.33,316.3,349.31,3448904,102197.4856,1801199,53308.59085,31514
1.60099E+12,9/25/2020,ETHUSD_PERP,349.21,357.95,337.3,351.99,2271031,65604.68519,1163788,33605.94787,25892
1.60108E+12,9/26/2020,ETHUSD_PERP,351.99,356.34,345.66,354.19,1486960,42227.40569,744418,21126.70887,17213
1.60116E+12,9/27/2020,ETHUSD_PERP,354.1,362.25,347.14,357.46,2079135,58556.34075,1022880,28772.02664,19992
1.60125E+12,9/28/2020,ETHUSD_PERP,357.53,368.46,351.33,353.73,2580484,71611.04092,1263564,35055.75291,22238
1.60134E+12,9/29/2020,ETHUSD_PERP,353.7,360.72,349.89,359.87,1926505,54229.87882,1002630,28208.23807,18414
1.60142E+12,9/30/2020,ETHUSD_PERP,359.96,361.97,351.33,360.16,1328873,37274.45783,667087,18700.35168,13382
1.60151E+12,10/1/2020,ETHUSD_PERP,360.32,370.83,345.11,352.43,3626551,101830.4815,1779453,49894.66108,25442
1.6016E+12,10/2/2020,ETHUSD_PERP,352.43,354.23,334.3,345.72,3179064,92426.79164,1461144,42478.10755,27891
1.60168E+12,10/3/2020,ETHUSD_PERP,345.68,351.14,343.73,345.84,1402028,40386.94045,721414,20777.6735,12581
1.60177E+12,10/4/2020,ETHUSD_PERP,345.75,354.85,343.6,352.8,2187570,62581.88415,1088446,31126.93914,15883
1.60186E+12,10/5/2020,ETHUSD_PERP,352.76,357.24,348.64,353.78,1484007,42096.69726,750550,21288.65355,12819
1.60194E+12,10/6/2020,ETHUSD_PERP,353.86,355.47,336.39,340.71,2986337,86526.15421,1413229,40943.62921,22899
1.60203E+12,10/7/2020,ETHUSD_PERP,340.8,342.88,332.08,341.57,1884317,55605.46303,1004467,29630.00774,17421
1.60212E+12,10/8/2020,ETHUSD_PERP,341.49,353.46,333.9,351.13,2799754,81320.92356,1473857,42771.11568,19781
1.6022E+12,10/9/2020,ETHUSD_PERP,351.15,368.43,347.25,365.21,2136668,59710.81887,1065524,29739.20633,16714
1.60229E+12,10/10/2020,ETHUSD_PERP,365.25,378.81,365,370.74,2629368,70433.48748,1343501,35967.74132,19733
1.60237E+12,10/11/2020,ETHUSD_PERP,370.73,378.22,369.2,374.26,1760519,47119.36018,827534,22141.64208,13417
1.60246E+12,10/12/2020,ETHUSD_PERP,374.29,395.32,364.01,386.78,5019521,132265.1478,2495858,65783.256,27577
1.60255E+12,10/13/2020,ETHUSD_PERP,386.65,387.95,374.39,381.22,2939681,77037.65282,1436607,37630.02183,21440
1.60263E+12,10/14/2020,ETHUSD_PERP,381.27,387.81,373,378.8,3198659,84257.15201,1487744,39167.44193,22432
1.60272E+12,10/15/2020,ETHUSD_PERP,378.83,382.38,370.11,377.97,2894770,76939.28404,1370225,36397.46473,22461
1.60281E+12,10/16/2020,ETHUSD_PERP,377.96,380.26,360.65,365.33,4927051,133754.5171,2222576,60340.40701,28714
1.60289E+12,10/17/2020,ETHUSD_PERP,365.45,370.8,363.46,368.54,1830631,49855.59039,833597,22708.14054,13671
