datetime,Neutral,Taker Buy Dominant,Taker Sell Dominant
2025-05-05,-,1820.11,-
2025-05-04,-,1808.89,-
2025-05-03,-,1833.62893235,-
2025-05-02,-,1842.2649999999999,-
2025-05-01,-,1838.505,-
2025-04-30,-,1793.78,-
2025-04-29,-,1802.935,-
2025-04-28,-,1799.88,-
2025-04-27,-,1791.9418,-
2025-04-26,-,1820.9802256,-
2025-04-25,1781.0349999999999,-,-
2025-04-24,1769.87,-,-
2025-04-23,1795.91,-,-
2025-04-22,1756.53,-,-
2025-04-21,1579.69,-,-
2025-04-20,1587.36,-,-
2025-04-19,1613.15,-,-
2025-04-18,1579.53,-,-
2025-04-17,1587.365,-,-
2025-04-16,1577.3968,-,-
2025-04-15,1588.77666345,-,-
2025-04-14,1623.73305,-,-
2025-04-13,1597.4250000000002,-,-
2025-04-12,1644.18,-,-
2025-04-11,1566.72,-,-
2025-04-10,1522.25,-,-
2025-04-09,1669.19,-,-
2025-04-08,1472.9499999999998,-,-
2025-04-07,1552.995,-,-
2025-04-06,1579.79,-,-
2025-04-05,1805.775,-,-
2025-04-04,1816.4050000000002,-,-
2025-04-03,1816.6,-,-
2025-04-02,1795.22,-,-
2025-04-01,1905.41705,-,-
2025-03-31,1822.44,-,-
2025-03-30,1807.37515,-,-
2025-03-29,1827.745,-,-
2025-03-28,1896.365,-,-
2025-03-27,2003.58,-,-
2025-03-26,2009.3589386499998,-,-
2025-03-25,2066.5600000000004,-,-
2025-03-24,2081.495,-,-
2025-03-23,2005.88,-,-
2025-03-22,1980.46,-,-
2025-03-21,1965.5749999999998,-,-
2025-03-20,1982.689999985,-,-
2025-03-19,2056.867499995,-,-
2025-03-18,1931.475,-,-
2025-03-17,-,-,1926.4650000000001
2025-03-16,-,-,1887.0525
2025-03-15,-,-,1937.45
2025-03-14,-,-,1911.5749999999998
2025-03-13,-,-,1864.3866864000001
2025-03-12,-,-,1908.15
2025-03-11,-,-,1923.1
2025-03-10,-,-,1864.96
2025-03-09,-,-,2019.95235
2025-03-08,-,-,2203.1949999999997
2025-03-07,-,-,2140.9444000000003
2025-03-06,-,-,2202.45
2025-03-05,-,-,2241.59
2025-03-04,-,-,2171.175
2025-03-03,-,-,2148.9501818999997
2025-03-02,-,-,2518.37
2025-03-01,-,-,2217.17
