volume,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,Daily_sentiment,lag_return_1,lag_fng,ma_3,volatility_3,Datetime,Actual_Return,Predicted_Return,Signal,Price,high,low,MA_9,Prev_Close,TR,ATR_14,Position,Cash,Portfolio_Value,Daily_Return
11663902,1,1.07346468,7.940853545,4160054188.2825785,0.2550903,0.00757856,-16468.25719258419,47,1,0.0081173473366782,44.0,-0.0024881913365186,0.0133438273368856,2023-10-14,0.0018888967682457,0.0109085951048125,1,1554.1,1561.1,1543.63,,,17.4699999999998,,0,100000.0,100000.0,0.0
20471231,1,1.03729321,8.599934583,4169546786.2479486,0.25549575,0.00497183,-3939.588847555861,45,1,0.0018888967682457,47.0,0.0040153366285871,0.0035532462976434,2023-10-15,0.0020397657808377,0.00668690937677,1,1557.27,1566.81,1546.68,,1554.1,20.12999999999988,,0,100000.0,100000.0,0.0
85291767,1,1.04248686,14.850235863,4076070247.964648,0.24349889,0.00345932,-20978.287855291503,47,1,0.0020397657808377,45.0,0.0102183068934333,0.0142965041501943,2023-10-16,0.0267262581312168,0.0190390019691197,1,1598.89,1642.6,1554.43,,1557.27,88.16999999999985,,0,100000.0,100000.0,0.0
31771566,1,0.94194509,12.340604841,4070717851.6465626,0.24890138,0.00278662,-28178.64887135953,52,0,0.0267262581312168,47.0,0.0023524044749263,0.0242190477772001,2023-10-17,-0.0217088104872755,-0.0133743210254179,-1,1564.18,1600.09,1550.01,,1598.89,50.07999999999993,,0,100000.0,100000.0,0.0
28456722,1,1.01590537,12.820216358,4059151326.7421794,0.24829716,0.00329135,-18867.67768313631,50,0,-0.0217088104872755,52.0,0.001386922915031,0.0242953551084142,2023-10-18,-0.0008566788988481,0.0095194693114267,1,1562.84,1585.45,1554.76,,1564.18,30.690000000000055,,0,100000.0,100000.0,0.0
34140948,1,0.99945508,13.178353285,4073037173.555074,0.24884308,0.00381804,-18354.88298328413,52,1,-0.0008566788988481,50.0,-0.0067646612219228,0.0130361835942048,2023-10-19,0.0022715057203552,-0.0019917969543357,-1,1566.39,1574.61,1541.0,,1562.84,33.6099999999999,,0,100000.0,100000.0,0.0
52236177,1,1.08828055,16.980753564,4178868795.75206,0.2486982,0.00551759,8148.0844937291695,53,1,0.0022715057203552,52.0,0.0084666378498629,0.0135300804300041,2023-10-20,0.0239850867280817,0.0201240686504088,1,1603.96,1631.27,1560.96,,1566.39,70.30999999999995,,0,100000.0,100000.0,0.0
29862409,1,1.01953629,11.306750982,4229006422.036673,0.24803777,0.00505579,-4371.667506934435,63,1,0.0239850867280817,53.0,0.0139372810676066,0.0109468383323807,2023-10-21,0.015555250754383,0.0101636149987337,1,1628.91,1644.36,1592.05,,1603.96,52.309999999999945,,0,100000.0,100000.0,0.0
40230157,1,1.06099225,11.48021576,4303812837.408213,0.24665055,0.00528222,10947.897866657702,53,1,0.015555250754383,63.0,0.0202871145180031,0.0043089711584368,2023-10-22,0.0213210060715447,0.0254028535999774,1,1663.64,1668.0,1621.06,1588.908888888889,1628.91,46.940000000000055,,1,100000.0,100000.0,0.0
132613729,1,1.04076657,25.898811752,4397731607.471676,0.23746365,0.01394912,1779.4399678469636,53,0,0.0213210060715447,53.0,0.0329696360402262,0.0253338730824545,2023-10-23,0.0620326512947511,0.0390899651115656,1,1766.84,1803.88,1657.01,1612.5466666666666,1663.64,146.87000000000012,,1,100000.0,106203.26512947513,0.06203265129475133
146804878,1,0.97477894,31.356942566,4292442654.028679,0.22736068,0.03240148,35099.06803256506,66,1,0.0620326512947511,53.0,0.031191765332659,0.0272794643383325,2023-10-24,0.0102216386316815,0.0062701602775393,1,1784.9,1855.0,1756.0,1637.838888888889,1766.84,99.0,,1,100000.0,107288.83652713327,0.010221638631681351
87744758,1,0.98184022,29.650142245,4431157775.195919,0.23573536,0.01634468,25679.533931085025,72,1,0.0102216386316815,66.0,0.024439591777259,0.0328769213387892,2023-10-25,0.0010644854053447,0.0038856597509112,1,1786.8,1819.35,1759.51,1658.7177777777777,1784.9,59.83999999999992,,1,100000.0,107403.04392777283,0.0010644854053447617
90270781,1,0.98258536,28.965039599,4528853767.375012,0.23809591,0.01775669,10307.701076811994,71,1,0.0010644854053447,72.0,0.0068700183623159,0.0050477350773842,2023-10-26,0.0093239310499217,0.0051776946439657,1,1803.46,1867.53,1761.77,1685.3044444444445,1786.8,105.75999999999999,,1,100000.0,108404.46250390708,0.009323931049921574
57862876,1,0.95045355,22.917952679,4481753566.99456,0.23942307,0.01571208,-28906.65874281252,70,1,0.0093239310499217,71.0,-0.000934297860702,0.0113899241091951,2023-10-27,-0.0131913100373726,-0.0069105707393455,-1,1779.67,1804.18,1740.76,1709.3966666666665,1803.46,63.42000000000007,63.18571428571425,1,100000.0,106974.46562958331,-0.013191310037372617
21007580,1,0.99018016,17.65810799,4481762284.504203,0.24028233,0.01695761,-11423.05835533503,65,1,-0.0131913100373726,70.0,-0.0019090914537708,0.0112577011638904,2023-10-28,-0.0018598953738615,0.0034852793635252,1,1776.36,1804.0,1770.0,1732.7266666666667,1779.67,34.0,64.36642857142854,1,100000.0,106775.50431583755,-0.001859895373861442
28829313,1,1.0169983,18.114650623,4555919589.038439,0.24162336,0.01655502,-4202.705114310083,72,0,-0.0018598953738615,65.0,-0.0013935537173958,0.0120377038487806,2023-10-29,0.0108705442590466,0.0071425689735475,1,1795.67,1812.34,1762.74,1754.027777777778,1776.36,49.59999999999991,66.47142857142855,1,100000.0,107936.21216128489,0.010870544259046655
