,Datetime,symbol,close,volume,Return,sentiment,Taker Buy Sell Ratio,MVRV Ratio,Open Interest,Exchange Netflow (Total),fng_value,fng_classification,Daily_sentiment
0,2021-01-01,BTCUSDT,29337.16,210716.398,0.013314598669230904,1,0.96989156,3.16093718,4941423846.122144,-11209.905418610004,94,Extreme Greed,0
1,2021-01-02,BTCUSDT,32199.91,545541.08,0.09758102011237635,1,1.01974069,3.394538,5281929907.0,-32968.11688279999,94,Extreme Greed,1
2,2021-01-03,BTCUSDT,33054.53,487486.989,0.026541067971929122,1,0.98322305,3.43222377,5442322587.392475,18054.767295430007,93,Extreme Greed,0
3,2021-01-04,BTCUSDT,32031.07,506128.023,-0.030962775752672922,1,0.95686879,3.27353352,4929256852.626506,14195.378602900004,94,Extreme Greed,-1
4,2021-01-05,BTCUSDT,33999.52,433720.833,0.06145439412420495,1,1.00436384,3.42996475,5203500821.787388,774.2698205400084,93,Extreme Greed,1
5,2021-01-06,BTCUSDT,36823.68,444019.83,0.08306470208991201,1,0.99984935,3.64991436,5626082247.584465,-8314.383180130011,95,Extreme Greed,1
6,2021-01-07,BTCUSDT,39498.92,520147.908,0.07264999044093368,1,0.99496011,3.79639489,6071265989.173087,6133.210729290004,91,Extreme Greed,0
7,2021-01-08,BTCUSDT,40637.23,518080.826,0.02881876263958616,1,0.97831295,3.80222066,6070940353.345109,12594.017182180003,93,Extreme Greed,1
8,2021-01-09,BTCUSDT,40136.04,260882.805,-0.012333271731365558,0,0.96821019,3.70570573,6269390912.946045,2909.774446330004,93,Extreme Greed,0
9,2021-01-10,BTCUSDT,38221.67,436759.048,-0.04769703239283207,-1,0.95034304,3.48599534,6070271845.499189,10992.305714169996,94,Extreme Greed,0
10,2021-01-11,BTCUSDT,35408.46,906275.651,-0.07360248780338485,-1,0.98176788,3.21918733,5600022318.352535,16029.063220609998,90,Extreme Greed,0
11,2021-01-12,BTCUSDT,34056.9,449065.693,-0.03817053890510902,-1,0.97666048,3.07432506,5210185146.064702,-4902.664491980002,84,Extreme Greed,-1
12,2021-01-13,BTCUSDT,37421.07,398188.088,0.09878086378971651,-1,1.01994376,3.35357644,5751064810.476403,2259.961015019988,78,Extreme Greed,0
13,2021-01-14,BTCUSDT,39163.31,353142.386,0.04655772803931035,-1,0.97998675,3.47217786,6137499256.0,-6816.250920129998,83,Extreme Greed,0
14,2021-01-15,BTCUSDT,36755.24,437610.113,-0.061487907942408326,-1,0.95617461,3.24266958,5786094235.066635,26054.23765614,88,Extreme Greed,0
15,2021-01-16,BTCUSDT,36025.66,301102.477,-0.019849686738543815,-1,0.95612288,3.1663074,5643653041.0,3815.4956943299994,84,Extreme Greed,0
16,2021-01-17,BTCUSDT,35869.83,287686.129,-0.004325527970896359,-1,0.98067192,3.14402931,5372295909.855066,2032.393032140004,79,Extreme Greed,1
17,2021-01-18,BTCUSDT,36686.86,253386.703,0.022777637920224247,-1,0.9920028,3.19589237,5572804275.653217,-1077.5413696100004,79,Extreme Greed,-1
18,2021-01-19,BTCUSDT,35891.03,257889.419,-0.02169250788974586,-1,0.97041907,3.11640072,5830639155.0,1968.208242089997,80,Extreme Greed,0
19,2021-01-20,BTCUSDT,35500.0,329192.419,-0.010894922770396942,-1,0.9661157,3.0747949,5503088456.990473,1038.5392720300006,78,Extreme Greed,0
20,2021-01-21,BTCUSDT,30879.97,550562.277,-0.1301416901408451,-1,0.95355619,2.67248367,5138241147.137119,2277.294669900002,75,Greed,-1
21,2021-01-22,BTCUSDT,32986.34,453568.538,0.06821152999824798,-1,1.01378305,2.85491451,4876430765.859998,591.2962499999994,40,Fear,0
22,2021-01-23,BTCUSDT,32086.48,256776.411,-0.027279777022852447,-1,0.97642735,2.77351,4724810419.270973,4299.672397049995,74,Greed,0
23,2021-01-24,BTCUSDT,32275.63,212107.044,0.005895006245621337,-1,1.01296147,2.78832465,4829239898.439674,3571.68300795,70,Greed,0
24,2021-01-25,BTCUSDT,32253.68,316687.524,-0.0006800796762139738,-1,0.98481185,2.77770231,4938683611.0,518.1892888500006,74,Greed,0
25,2021-01-26,BTCUSDT,32474.14,346861.70700000005,0.0068351890388942405,-1,1.00335653,2.79682644,4937337243.024879,-2929.953332129997,71,Greed,1
26,2021-01-27,BTCUSDT,30381.04,431022.839,-0.06445436276372518,-1,0.97988457,2.60245752,4821426400.965962,-7917.183100090013,78,Extreme Greed,0
27,2021-01-28,BTCUSDT,33399.75,311528.373,0.0993616413394669,-1,1.04110923,2.84827006,5153000846.211793,-2693.899509020004,55,Greed,0
28,2021-01-29,BTCUSDT,34269.35,713579.785,0.026036123024872904,-1,0.99554389,2.89205941,5296887892.237244,24408.022154470003,77,Extreme Greed,0
29,2021-01-30,BTCUSDT,34289.85,267861.872,0.0005982021835839735,-1,0.99396997,2.88842811,5221665516.646236,5624.852126559999,76,Extreme Greed,-1
30,2021-01-31,BTCUSDT,33126.21,211293.891,-0.03393540654158589,-1,0.95197149,2.78019337,5201665572.388888,-11627.690042560003,78,Extreme Greed,1
31,2021-02-01,BTCUSDT,33546.09,240632.325,0.01267515963945165,-1,1.03652569,2.81058655,5099563128.870916,-4388.817272979999,77,Extreme Greed,1
32,2021-02-02,BTCUSDT,35504.06,239856.23,0.05836656373365723,-1,1.05475003,2.96259492,5467362864.914609,4337.253437940002,76,Extreme Greed,0
33,2021-02-03,BTCUSDT,37652.51,240308.078,0.060512797691306464,-1,1.02786464,3.12608582,5729399346.201497,3946.256892820005,78,Extreme Greed,0
34,2021-02-04,BTCUSDT,36976.93,306715.022,-0.017942495732688246,-1,0.95505273,3.0487853,5709707089.182437,7675.286691180008,80,Extreme Greed,1
35,2021-02-05,BTCUSDT,38362.65,196277.444,0.03747525822181563,-1,0.99686561,3.13243518,6149651703.1055565,-7745.123018860002,81,Extreme Greed,0
36,2021-02-06,BTCUSDT,39249.54,310826.315,0.02311858018150459,-1,0.99408003,3.1905537,6723976691.440746,13638.273354060002,84,Extreme Greed,0
37,2021-02-07,BTCUSDT,38849.25,296721.925,-0.010198590862466217,-1,0.93258598,3.14474203,6689564858.575712,-9605.573679020004,86,Extreme Greed,1
38,2021-02-08,BTCUSDT,46451.32,440167.093,0.19568125510788503,-1,1.0404157,3.71521691,7883527982.154195,2755.4191319999954,83,Extreme Greed,1
39,2021-02-09,BTCUSDT,46492.54,381477.426,0.0008873805954277003,-1,0.95993469,3.63820319,7825444914.230133,-1361.095950450006,95,Extreme Greed,0
40,2021-02-10,BTCUSDT,44850.0,334979.017,-0.03532910871292472,-1,0.96733687,3.46934766,7728157320.048107,7377.49051345,92,Extreme Greed,-1
41,2021-02-11,BTCUSDT,48060.21,330540.045,0.07157658862876248,-1,1.02004869,3.67907988,8423458268.415104,3103.281798009993,93,Extreme Greed,0
42,2021-02-12,BTCUSDT,47361.03,259186.288,-0.014548001350805584,-1,0.95479356,3.59666081,8206991149.938179,-7270.638224720002,92,Extreme Greed,1
43,2021-02-13,BTCUSDT,47221.62,199965.397,-0.002943559293368314,-1,0.96576675,3.56879926,8238256300.0,566.7562718500049,92,Extreme Greed,0
44,2021-02-14,BTCUSDT,48655.21,241935.66600000003,0.030358763634114938,-1,0.99150778,3.66131059,8843788041.584784,2774.37130685,95,Extreme Greed,0
45,2021-02-15,BTCUSDT,47981.58,248960.404,-0.013844971586804311,-1,0.94268863,3.56778021,8461273012.903102,-4470.102646769999,93,Extreme Greed,1
46,2021-02-16,BTCUSDT,49197.94,343592.011,0.02535056161135163,-1,0.99886468,3.6350514,8798694992.379509,1179.640649699999,95,Extreme Greed,-1
47,2021-02-17,BTCUSDT,52194.62,312007.458,0.060910680406537354,0,1.02539752,3.81365283,9605960428.0,9333.633194109992,95,Extreme Greed,0
48,2021-02-18,BTCUSDT,51619.7,185489.89,-0.011014928358516696,0,0.93950069,3.72590287,9360850532.354908,-1160.47365592001,91,Extreme Greed,1
49,2021-02-19,BTCUSDT,56004.1,257911.872,0.08493656491610757,0,1.00807443,3.96373197,9608940881.114304,11392.95328639001,93,Extreme Greed,0
50,2021-02-20,BTCUSDT,55917.41,240296.308,-0.0015479223842539414,0,0.94339603,3.90364643,9318354170.980612,12697.06359146,91,Extreme Greed,0
51,2021-02-21,BTCUSDT,57487.43,196820.573,0.028077480698766255,1,0.97767574,3.98120636,9852058258.615068,36455.81641253999,91,Extreme Greed,1
52,2021-02-22,BTCUSDT,54121.1,480660.187,-0.058557670781247295,0,0.92224865,3.72030698,8640997157.680798,5368.6024130000005,94,Extreme Greed,-1
53,2021-02-23,BTCUSDT,48930.0,748737.462,-0.0959163801179207,-1,0.95369545,3.3299199,7649297038.719359,7737.953209259998,94,Extreme Greed,1
54,2021-02-24,BTCUSDT,49702.03,333415.219,0.015778254649499335,-1,0.98070753,3.35698968,7814128521.758102,-15628.390696559987,76,Extreme Greed,0
55,2021-02-25,BTCUSDT,47089.37,349943.016,-0.05256646458907199,-1,0.962201,3.15989613,7825706865.357997,2811.2762349599943,79,Extreme Greed,0
56,2021-02-26,BTCUSDT,46313.13,440670.32,-0.016484399770054337,-1,0.98651804,3.08086186,7358405184.819186,-36351.64538036,55,Greed,0
57,2021-02-27,BTCUSDT,46102.63,256027.074,-0.0045451473480631055,-1,0.97775427,3.07534776,7476662305.599015,3117.25055474,56,Greed,0
58,2021-02-28,BTCUSDT,45163.36,370358.825,-0.02037345808688129,-1,0.98241837,3.00988814,7566058433.330736,5793.890812899997,55,Greed,-1
59,2021-03-01,BTCUSDT,49592.7,315659.93100000004,0.09807374827736459,-1,1.02333115,3.28545732,8189175459.257399,-5005.528248260001,38,Fear,0
60,2021-03-02,BTCUSDT,48450.57,273100.435,-0.023030204042127078,-1,0.96299254,3.19446007,8040374270.173623,-6091.710211149992,78,Extreme Greed,0
61,2021-03-03,BTCUSDT,50373.75,350311.234,0.03969365066293329,-1,1.01585471,3.30596017,8535449812.586721,5402.670076869996,78,Extreme Greed,0
62,2021-03-04,BTCUSDT,48385.77,387428.95700000005,-0.03946460209930769,-1,0.9385426,3.16378574,8352749771.516292,1249.7740224399968,84,Extreme Greed,0
