,Datetime,symbol,close,volume,Return,sentiment,Taker Buy Sell Ratio,Gas Price (Mean),Open Interest,Estimated Leverage Ratio,Funding Rates,Exchange Netflow (Total),fng_value,fng_classification,Daily_sentiment
0,2021-01-01,ETHUSD_PERP,730.51,42816163,-0.009451103758746027,1,1.04317779,66.55491453,1376190356.5486107,0.11705737,0.01609291,110238.31156688325,94,Extreme Greed,0
1,2021-01-02,ETHUSD_PERP,775.08,93771320,0.06101216958015643,1,1.0302234,102.59713334,1432395325.249626,0.11484328,0.04015614,41973.20171928895,94,Extreme Greed,1
2,2021-01-03,ETHUSD_PERP,978.75,197899879,0.26277287505805846,1,1.03473159,170.434674928,1873096421.03991,0.11682205,0.13298176,434740.5507286475,93,Extreme Greed,0
3,2021-01-04,ETHUSD_PERP,1042.87,250664230,0.06551213282247748,1,1.01978615,259.288889468,2048629275.9098237,0.11995819,0.23178779,396088.0397491525,94,Extreme Greed,-1
4,2021-01-05,ETHUSD_PERP,1104.47,193512385,0.05906776491796695,1,1.0165608,138.112229757,2132910694.29803,0.1185354,0.09004554,33686.17774587218,93,Extreme Greed,1
5,2021-01-06,ETHUSD_PERP,1212.72,211631287,0.09801081061504613,1,1.03306983,125.094721824,2538260453.764358,0.12945471,0.14642765,123770.90069908556,95,Extreme Greed,1
6,2021-01-07,ETHUSD_PERP,1228.62,213559738,0.013111023154561474,1,1.0181158,132.712479401,2639428255.9003167,0.13294187,0.14210917,152194.70255036606,91,Extreme Greed,0
7,2021-01-08,ETHUSD_PERP,1219.62,204341860,-0.0073252917907896675,1,1.00741946,139.778688804,2321724229.9615374,0.11776463,0.11913059,215792.0170311965,93,Extreme Greed,1
8,2021-01-09,ETHUSD_PERP,1283.7,83863418,0.05254095537954462,0,1.03389929,92.556952304,2635777285.051728,0.12700281,0.08736971,29459.50998220686,93,Extreme Greed,0
9,2021-01-10,ETHUSD_PERP,1258.33,172485748,-0.019763184544675627,-1,1.00695808,87.30488937,2610658186.256162,0.12765368,0.18368303,121611.91732424172,94,Extreme Greed,0
10,2021-01-11,ETHUSD_PERP,1086.6,270162594,-0.13647453370737406,-1,1.02688468,238.057080637,1919272932.905826,0.10832451,0.15335559,-45456.452366580255,90,Extreme Greed,0
11,2021-01-12,ETHUSD_PERP,1048.92,145083898,-0.034676974047487374,-1,1.02337161,87.023397594,1838224017.5930536,0.10775828,0.05304726,-114358.34858155064,84,Extreme Greed,-1
12,2021-01-13,ETHUSD_PERP,1131.15,103857480,0.07839492048964658,-1,1.05195888,67.939047095,1968782341.2846663,0.10753,0.08563106,-3.983267050469294,78,Extreme Greed,0
13,2021-01-14,ETHUSD_PERP,1232.27,117975491,0.08939574769040348,-1,1.01045626,85.428093595,2170145047.232728,0.10928577,0.1070892,-125882.68153773157,83,Extreme Greed,0
14,2021-01-15,ETHUSD_PERP,1168.2,166802563,-0.05199347545586597,-1,1.02774187,94.267620299,2051879640.605879,0.10896288,0.10730652,18215.750318636885,88,Extreme Greed,0
